gloss,video_path,signer_id
CAR,Dataset/Aisladas/CAR/01.mp4,signer_16
FORK,Dataset/Aisladas/FORK/01.mp4,signer_16
FS-J,Dataset/Aisladas/FS-J/01.mp4,signer_18
FS-Z,Dataset/Aisladas/FS-Z/01.mp4,signer_18
FS-Z,Dataset/Aisladas/FS-Z/02.mp4,signer_19
NONE,Dataset/Aisladas/NONE/01.mp4,signer_16
NONE,Dataset/Aisladas/NONE/02.mp4,signer_20
NONE,Dataset/Aisladas/NONE/03.mp4,signer_20
NONE,Dataset/Aisladas/NONE/04.mp4,signer_21
NONE,Dataset/Aisladas/NONE/05.mp4,signer_22
NONE,Dataset/Aisladas/NONE/06.mp4,signer_22
NONE,Dataset/Aisladas/NONE/07.mp4,signer_22
NONE,Dataset/Aisladas/NONE/08.mp4,signer_22
NONE,Dataset/Aisladas/NONE/09.mp4,signer_22
NONE,Dataset/Aisladas/NONE/10.mp4,signer_23
NONE,Dataset/Aisladas/NONE/11.mp4,signer_23
NONE,Dataset/Aisladas/NONE/12.mp4,signer_24
NONE,Dataset/Aisladas/NONE/13.mp4,signer_09
NONE,Dataset/Aisladas/NONE/14.mp4,signer_25
NONE,Dataset/Aisladas/NONE/15.mp4,signer_12
NONE,Dataset/Aisladas/NONE/16.mp4,signer_26
NONE,Dataset/Aisladas/NONE/17.mp4,signer_01
NONE,Dataset/Aisladas/NONE/18.mp4,signer_27
NONE,Dataset/Aisladas/NONE/19.mp4,signer_27
NONE,Dataset/Aisladas/NONE/20.mp4,signer_28
OTHER,Dataset/Aisladas/OTHER/01.mp4,signer_16
OTHER,Dataset/Aisladas/OTHER/02.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/03.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/04.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/05.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/06.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/07.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/08.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/09.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/10.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/11.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/12.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/13.mp4,signer_29
OTHER,Dataset/Aisladas/OTHER/14.mp4,signer_17
OTHER,Dataset/Aisladas/OTHER/15.mp4,signer_20
OTHER,Dataset/Aisladas/OTHER/16.mp4,signer_30
OTHER,Dataset/Aisladas/OTHER/17.mp4,signer_31
OTHER,Dataset/Aisladas/OTHER/18.mp4,signer_32
OTHER,Dataset/Aisladas/OTHER/19.mp4,signer_33
OTHER,Dataset/Aisladas/OTHER/20.mp4,signer_16
OTHER,Dataset/Aisladas/OTHER/21.mp4,signer_16
PLACE,Dataset/Aisladas/PLACE/V1/01.mp4,signer_29
PLACE,Dataset/Aisladas/PLACE/V1/02.mp4,signer_29
PLACE,Dataset/Aisladas/PLACE/V1/03.mp4,signer_29
PLACE,Dataset/Aisladas/PLACE/V1/04.mp4,signer_29
PLACE,Dataset/Aisladas/PLACE/V1/05.mp4,signer_20
PLACE,Dataset/Aisladas/PLACE/V1/06.mp4,signer_16
PLACE,Dataset/Aisladas/PLACE/V1/07.mp4,signer_34
PLACE,Dataset/Aisladas/PLACE/V1/08.mp4,signer_35
PLACE,Dataset/Aisladas/PLACE/V1/09.mp4,signer_36
PLACE,Dataset/Aisladas/PLACE/V1/10.mp4,signer_16
PLACE,Dataset/Aisladas/PLACE/V1/11.mp4,signer_33
PLACE,Dataset/Aisladas/PLACE/V2/01.mp4,signer_29
PLACE,Dataset/Aisladas/PLACE/V2/02.mp4,signer_29
PLACE,Dataset/Aisladas/PLACE/V2/03.mp4,signer_29
PLACE,Dataset/Aisladas/PLACE/V2/04.mp4,signer_20
PLACE,Dataset/Aisladas/PLACE/V2/05.mp4,signer_20
PLACE,Dataset/Aisladas/PLACE/V2/06.mp4,signer_24
PLACE,Dataset/Aisladas/PLACE/V2/07.mp4,signer_05
PLACE,Dataset/Aisladas/PLACE/V2/08.mp4,signer_06
PLACE,Dataset/Aisladas/PLACE/V2/09.mp4,signer_37
PLACE,Dataset/Aisladas/PLACE/V2/10.mp4,signer_38
PLACE,Dataset/Aisladas/PLACE/V2/11.mp4,signer_09
PLACE,Dataset/Aisladas/PLACE/V2/12.mp4,signer_39
PLACE,Dataset/Aisladas/PLACE/V2/13.mp4,signer_32
PLACE,Dataset/Aisladas/PLACE/V2/14.mp4,signer_40
PLACE,Dataset/Aisladas/PLACE/V2/15.mp4,signer_40
PLACE,Dataset/Aisladas/PLACE/V2/16.mp4,signer_40
PLACE,Dataset/Aisladas/PLACE/V2/17.mp4,signer_40
PLACE,Dataset/Aisladas/PLACE/V2/18.mp4,signer_40
PLACE,Dataset/Aisladas/PLACE/V2/19.mp4,signer_40
PLACE,Dataset/Aisladas/PLACE/V2/20.mp4,signer_40
PLACE,Dataset/Aisladas/PLACE/V2/21.mp4,signer_40
PLACE,Dataset/Aisladas/PLACE/V2/22.mp4,signer_40
